BEGIN_YEAR;EXPOSURE;PREMIUM_FREQUENCY;SEX;ENGINE;POWER_RANGE;KIND_OF_PAYMENT;CLAIM_AMOUNT;CLAIM_COUNT
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;1;1;BEN;161+;cash;0;0
2007;1;4;1;DIE;101-120;cash;6873,99;1
2007;1;2;1;DIE;61-80;cash;1130;1
2007;1;2;0;BEN;101-120;cash;2975,37;1
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;2;1;BEN;81-100;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;2;1;BEN;81-100;cash;0;0
2007;1;4;1;BEN;101-120;cash;0;0
2007;1;1;1;DIE;81-100;cash;0;0
2007;1;2;1;BEN;0-60;cash;0;0
2007;1;2;1;DIE;61-80;transfer;0;0
2007;1;1;1;DIE;101-120;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;2;1;DIE;101-120;cash;0;0
2007;1;1;0;BEN;0-60;cash;0;0
2007;1;1;1;BEN;121-140;cash;0;0
2007;1;2;0;DIE;61-80;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;2;0;BEN;0-60;cash;0;0
2007;1;2;0;BEN;0-60;cash;0;0
2007;1;2;1;DIE;61-80;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;2;1;BEN;101-120;cash;0;0
2007;1;2;1;BEN;61-80;cash;0;0
2007;1;2;0;BEN;61-80;cash;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;1;1;0;DIE;101-120;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;1;1;DIE;81-100;transfer;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;1;1;DIE;101-120;cash;0;0
2007;1;2;1;BEN;101-120;cash;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;1;2;1;DIE;121-140;cash;0;0
2007;1;2;1;BEN;61-80;cash;0;0
2007;1;2;1;BEN;0-60;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;1;1;DIE;81-100;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;4;1;BEN;81-100;cash;0;0
2007;1;1;1;BEN;121-140;cash;0;0
2007;1;2;1;DIE;101-120;cash;2584,43;1
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;2;1;BEN;101-120;cash;0;0
2007;0,96;1;1;BEN;61-80;cash;5653,73;1
2007;1;1;0;BEN;61-80;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;2;1;BEN;0-60;cash;0;0
2007;1;2;1;BEN;0-60;cash;0;0
2007;0,87;2;1;DIE;81-100;cash;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;2;1;BEN;61-80;cash;0;0
2007;1;2;1;DIE;0-60;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;2;1;BEN;0-60;cash;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;1;2;1;BEN;101-120;cash;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;1;1;1;DIE;101-120;transfer;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;2;1;BEN;61-80;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;1;1;DIE;101-120;cash;0;0
2007;1;1;0;BEN;61-80;cash;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;1;1;1;DIE;101-120;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;2;1;BEN;61-80;cash;0;0
2007;1;2;1;BEN;101-120;cash;0;0
2007;1;1;1;BEN;121-140;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;2;1;BEN;61-80;cash;0;0
2007;1;2;1;BEN;121-140;cash;0;0
2007;0,61;1;1;BEN;61-80;cash;12500;1
2007;1;1;1;DIE;81-100;cash;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;1;2;1;BEN;61-80;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;2;1;BEN;81-100;cash;0;0
2007;1;2;1;DIE;81-100;cash;0;0
2007;1;2;1;BEN;81-100;cash;0;0
2007;1;4;1;BEN;81-100;cash;1876,36;1
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;1;0;BEN;101-120;transfer;0;0
2007;1;4;1;BEN;61-80;cash;0;0
2007;1;1;1;DIE;81-100;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;2;1;BEN;121-140;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;2;0;BEN;0-60;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;2;0;DIE;61-80;cash;0;0
2007;1;4;1;BEN;101-120;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;1;1;DIE;61-80;cash;0;0
2007;1;2;0;BEN;81-100;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;1;1;DIE;0-60;cash;0;0
2007;1;2;1;BEN;61-80;cash;0;0
2007;1;2;1;BEN;0-60;cash;0;0
2007;1;1;1;DIE;101-120;cash;0;0
2007;0,08;1;1;BEN;0-60;transfer;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;1;1;BEN;101-120;transfer;0;0
2007;1;1;1;DIE;61-80;cash;0;0
2007;1;2;1;DIE;121-140;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;2;1;DIE;81-100;cash;0;0
2007;1;2;1;BEN;81-100;cash;0;0
2007;1;2;1;BEN;121-140;cash;0;0
2007;1;4;1;DIE;101-120;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;2;0;DIE;81-100;cash;2620,99;1
2007;1;1;1;DIE;81-100;cash;0;0
2007;1;1;0;BEN;61-80;transfer;0;0
2007;1;1;0;BEN;0-60;cash;0;0
2007;1;1;1;BEN;161+;cash;0;0
2007;1;2;1;BEN;81-100;cash;0;0
2007;1;2;1;BEN;0-60;cash;0;0
2007;1;1;0;BEN;0-60;cash;0;0
2007;1;2;1;BEN;0-60;cash;0;0
2007;1;1;0;BEN;0-60;cash;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;1;1;1;DIE;81-100;cash;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;1;1;0;DIE;0-60;cash;0;0
2007;1;2;0;DIE;81-100;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;2;1;BEN;0-60;cash;0;0
2007;1;4;0;BEN;81-100;cash;0;0
2007;1;1;1;DIE;0-60;cash;0;0
2007;1;1;0;BEN;0-60;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;2;1;BEN;61-80;cash;0;0
2007;1;1;1;BEN;81-100;cash;3544,61;1
2007;1;4;0;BEN;0-60;cash;0;0
2007;1;1;1;DIE;141-160;cash;0;0
2007;1;1;1;DIE;101-120;cash;0;0
2007;1;1;0;BEN;61-80;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;1;1;DIE;101-120;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;1;0;BEN;121-140;cash;0;0
2007;1;2;0;BEN;61-80;cash;0;0
2007;1;2;1;BEN;0-60;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;1;0;BEN;0-60;transfer;0;0
2007;1;2;1;BEN;101-120;cash;0;0
2007;1;2;0;DIE;81-100;cash;0;0
2007;1;1;1;BEN;61-80;cash;1516,88;1
2007;1;2;1;BEN;61-80;transfer;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;1;2;1;BEN;81-100;cash;0;0
2007;1;1;0;BEN;81-100;cash;0;0
2007;1;1;1;BEN;141-160;cash;0;0
2007;1;2;1;BEN;121-140;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;1;1;BEN;81-100;cash;1106,06;1
2007;1;1;1;BEN;61-80;cash;0;0
2007;0,75;4;1;BEN;141-160;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;2;1;BEN;81-100;cash;0;0
2007;1;2;1;DIE;121-140;cash;2785,58;1
2007;1;2;1;BEN;0-60;cash;0;0
2007;1;2;0;BEN;0-60;cash;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;1;4;1;BEN;81-100;transfer;8958,8;1
2007;1;2;1;BEN;81-100;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;2;0;BEN;61-80;cash;0;0
2007;1;1;1;DIE;101-120;transfer;1420;1
2007;1;1;1;DIE;101-120;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;2;1;DIE;101-120;cash;0;0
2007;1;2;1;BEN;81-100;cash;0;0
2007;1;1;0;BEN;61-80;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;0,81;2;1;BEN;81-100;transfer;0;0
2007;1;1;1;BEN;81-100;cash;1858,42;1
2007;1;2;1;BEN;101-120;cash;0;0
2007;1;2;1;DIE;61-80;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;1;1;1;BEN;81-100;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;1;1;DIE;81-100;cash;0;0
2007;1;2;0;BEN;0-60;cash;0;0
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;1;1;BEN;101-120;cash;0;0
2007;1;1;0;BEN;101-120;cash;0;0
2007;1;1;1;DIE;101-120;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;1;0;BEN;101-120;cash;0;0
2007;1;1;0;BEN;61-80;cash;0;0
2007;1;4;1;BEN;121-140;cash;2775,2;1
2007;1;1;1;BEN;61-80;cash;0;0
2007;1;1;0;BEN;0-60;cash;1482,06;1
2007;1;2;1;BEN;61-80;cash;0;0
2007;1;2;1;BEN;61-80;cash;0;0
2007;1;1;0;BEN;81-100;cash;0;0
2007;1;2;1;BEN;101-120;transfer;0;0
2007;1;1;1;DIE;101-120;cash;0;0
2007;1;1;1;BEN;0-60;cash;0;0
2007;1;1;1;DIE;121-140;transfer;0;0
2007;1;1;1;DIE;121-140;cash;0;0
2007;1;2;1;BEN;121-140;cash;0;0
2007;1;2;1;BEN;101-120;transfer;0;0
2007;0,19;2;0;BEN;81-100;cash;4187,09;1
2007;1;1;1;DIE;61-80;cash;0;0
2007;1;1;1;DIE;0-60;cash;0;0
